Inventory_ID,Product_ID,Warehouse,Stock_In,Stock_Out,Current_Stock,Transaction_Date
I101,P101,Mumbai WH,500,120,380,1/10/2026
I102,P102,Mumbai WH,200,50,150,1/11/2026
I103,P103,Pune WH,1000,300,700,1/12/2026
I104,P104,Nashik WH,150,40,110,1/13/2026
I105,P105,Mumbai WH,400,100,300,1/14/2026
I106,P106,Pune WH,250,80,170,1/15/2026
I107,P107,Nashik WH,600,200,400,1/16/2026
I108,P108,Mumbai WH,350,120,230,1/17/2026
I109,P109,Pune WH,180,70,110,1/18/2026
I110,P110,Nashik WH,300,90,210,1/19/2026
