Sale_ID,Product_ID,Customer_Name,Quantity_Sold,Unit_Selling_Price,Revenue,Sale_Date
S101,P101,Reliance Retail,15,1200,18000,3/15/2026
S102,P102,Tata Housing,5,4200,21000,7/21/2026
S103,P103,Dmart,50,250,12500,1/22/2026
S104,P104,Adani Infra,4,5200,20800,10/23/2026
S105,P105,JK Industries,10,1500,15000,5/24/2026
S106,P106,Reliance Retail,6,3200,19200,8/25/2026
S107,P107,Dmart,20,800,16000,2/26/2026
S108,P108,Godrej Properties,8,1100,8800,12/27/2026
S109,P109,ChemCorp,5,2400,12000,9/28/2026
S110,P110,Tata Housing,12,1600,19200,4/29/2026
